ResponseId,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_7,Q32_8,Q32_9
R_cC5bgcEMjzaeLC1,10,10,10,10,10,10,10,10,10
R_2rAySbdSOlCWB1z,8,8,8,8,8,8,8,8,8
R_3j6WnGuBSFVgb9a,0,0,0,0,0,0,0,0,0
R_1jq49WHMSbVNNTL,10,10,10,10,10,10,10,10,10
R_XiWKTrs8e7MeMr7,0,0,0,0,0,0,0,0,0
R_1GTcsAM4EyvgIuI,11,11,11,11,11,11,11,11,11
R_3hxSHzdUe3Zwn8J,11,11,11,11,11,11,11,11,11
R_pxFtSBcEZ12R9MB,0,0,0,0,0,0,0,0,0
R_28BvK1DmgIiF2ct,7,7,7,7,7,7,7,7,7
R_0ADK8MFthhE6Tbb,11,11,11,11,11,11,11,11,11
R_3MmX2wGzINBZcJE,5,5,5,5,5,5,5,5,5
R_0px9Lw7a6BSOYVj,10,10,10,10,10,10,10,10,10
R_22nt2CxcP2aKHWy,11,11,11,11,11,11,11,11,11
R_siBSD4R2EeG4QVz,11,11,11,11,11,11,11,11,11
R_3GlIFR2NQ4hGRy4,5,5,5,5,5,5,5,5,5
R_OIktR1ubUoqxy3D,6,6,6,6,6,6,6,6,6
R_1ptdZYSBBljtfxW,10,10,10,10,10,10,10,10,10
R_PFX9m8XIHui3oFH,10,10,10,10,10,10,10,10,10
R_1QMmkL1r5EwsvXh,9,9,9,9,9,9,9,9,9
R_2TTTsRJMlLbmxiF,5,5,5,5,5,5,5,5,5
R_OPUgT2xEipIV60h,10,10,10,10,10,10,10,10,10
R_3P4sYIcAyPNGZf7,10,10,10,10,10,10,10,10,10
R_3nHNLSYceDDUa7y,10,10,10,10,10,10,10,10,10
R_29aCGsZJ8p7mJBY,5,5,5,5,5,5,5,5,5
R_2sbyN81Awi1ZX6B,5,5,5,5,5,5,5,5,5
R_tQHpLbMUCxuVWcV,5,5,5,5,5,5,5,5,5
R_3HHPSeYjqx2ZM4h,6,6,6,6,6,6,6,6,6
R_3GcWfOzt1mYGvEj,10,10,10,10,10,10,10,10,10
R_2v5NtM6P4M1MPV5,11,11,11,11,11,11,11,11,11
R_2YYbLwpqFAJX9nV,10,10,10,10,10,10,10,10,10
R_33ruUSLcNFuED24,8,8,8,8,8,8,8,8,8
R_r1HU4JkYEs3UEsF,11,11,11,11,11,11,11,11,11
R_xmZ0OCiFTbvqzJf,0,0,0,0,0,0,0,0,0
R_OflVBQDaWSaGVr3,11,11,11,11,11,11,11,11,11
R_11d6JA4bOGQD9SH,11,11,11,11,11,11,11,11,11
R_1CKF07R3QCSJEur,11,11,11,11,11,11,11,11,11
R_2qw7B6E4kwfpo6D,10,10,10,10,10,10,10,10,10
R_sp9pkImlyRy50Wt,11,11,11,11,11,11,11,11,11
R_2EiOTFtZMEM45Y6,11,11,11,11,11,11,11,11,11
R_3j0ROy7kp6q5fPt,11,11,11,11,11,11,11,11,11
R_6mPZzrzROcHa6PL,8,8,8,8,8,NA,8,8,8
R_1Kg3j2BC5z2t5sG,5,5,5,5,5,5,5,5,5
R_2fm61tuz8mP8yeY,10,10,10,10,10,10,10,10,10
R_1hW0wVVU7V4FUOU,11,11,11,11,11,11,11,11,11
R_116CnPl3nHn03u3,10,10,10,10,10,10,10,10,10
R_331mw1OPxnDzmpW,5,5,5,5,5,5,5,5,5
R_2aR14CRw5iCTezI,11,11,11,11,11,11,11,11,11
R_1jm6frNaYPIp3o1,11,11,11,11,11,11,11,11,11
R_1qeTaRJoaYoMAkS,10,10,10,10,10,10,10,10,10
R_1K8E3u489W786tn,11,11,11,11,11,11,11,11,11
R_wO7iKZLwqcZO4db,11,11,11,11,11,11,11,11,11
R_rfF4fKR4xcJXMNH,11,11,11,11,11,11,11,11,11
R_2rAEP8RVblhH3EQ,10,10,10,10,10,10,10,10,10
R_2PjtMtjCHk9nY4a,10,10,10,10,10,10,10,10,10
R_3Ed9zvNRLUehtVn,11,11,11,11,11,11,11,11,11
R_b9spSnT9KRp9N0l,0,0,0,0,0,0,0,0,0
R_2eOI3h7hJqum8qY,11,11,11,11,11,11,11,11,11
R_2Toa7luiynqQirs,11,11,11,11,11,11,11,11,11
R_29glCrtCRt1j9oL,NA,10,10,10,10,10,10,10,10
R_1Kqlz6a0nyMi1hK,10,10,10,10,10,10,10,10,10
R_0IgWnRwPtedqFVf,5,5,5,5,5,5,5,5,5
R_1NfAYf1a4zP8wuW,7,7,7,7,7,7,7,7,7
R_UEnRrw9nX35BMYN,10,10,10,10,10,10,10,10,10
R_3rMQ77R5rsTzlOL,5,5,5,5,5,5,5,5,5
R_2dF6RMspY5FlvqH,11,11,11,11,11,11,11,11,11
R_3eqNgghk24yKOQv,11,11,11,11,11,11,11,11,11
R_323KWSARbvg0rgI,11,11,11,11,11,11,11,11,11
R_VJwkov2egD6TABP,11,11,11,11,11,11,11,11,11
R_2y1IfbxKqvT3Dxp,11,11,11,11,11,11,11,11,11
R_2YVxYF3IIml2HEW,11,11,11,11,11,11,11,11,11
R_1OqnzPHCEvCz5Vn,11,NA,11,11,11,11,11,11,11
R_UYoFi49zraG7cwF,11,11,11,11,11,11,11,11,11
R_VX7UtUEFADmgIhP,11,11,11,11,11,11,11,11,11
R_2VOzMuqlGo0KxOb,11,11,11,11,11,11,11,11,11
R_1rGlGbL6neYQ7GX,11,11,11,11,11,11,11,11,11
R_DM1GsUScBomMl0d,5,5,5,5,5,5,5,5,5
R_3kp756Ws2WXJYAV,11,11,11,11,11,11,11,11,11
R_BxnA7X90DhveGMp,0,0,0,0,0,0,0,0,0
R_2us8SZooohW0FoG,11,11,11,11,11,11,11,11,11
R_1Itpi4TnpPOiPDd,11,11,11,11,11,11,11,11,11
R_3JlomJcuhpSyYTG,11,11,11,11,11,11,11,11,11
R_2PgUedsy6yzqAxG,10,10,10,10,10,10,10,10,10
R_2ro97pAKdnWQxjN,11,11,11,11,11,11,11,11,11
R_2Ck8hLRyfzUGVvR,11,11,11,11,11,11,11,11,11
R_3fB3o5mc9Hgjybk,11,11,11,11,11,11,11,11,11
R_78O5G1B1FwGaelz,10,10,10,10,10,10,10,10,10
R_1DOpPyVewbmcSfG,10,10,10,10,10,10,10,10,10
R_1BPG29q3CpDJfNN,10,10,10,10,10,10,10,10,10
R_25AfVfBdz4hPL3m,11,11,11,11,11,11,11,11,11
R_23faSOZ55TBfU2r,10,10,10,10,10,10,10,10,10
R_1QGTDzNQlkBX76p,11,11,11,11,11,11,11,11,11
R_2uHEAEstlhWUvGM,11,11,11,11,11,11,11,11,11
R_1mOT7q7ylEJWJLj,11,11,11,11,11,11,11,11,11
R_2B8t4JFNN6Z5sR7,11,11,11,11,11,11,11,11,11
R_2ZTTK9iLYfvryfj,11,11,11,11,11,11,11,11,11
R_pn3DxkVZEUrqDXX,11,11,11,11,11,11,11,11,11
R_3JbcC6RSF4EmbnH,7,7,7,7,7,7,7,7,7
R_2diOPB2KLVqzfW9,5,5,5,5,5,5,5,5,5
R_1escUJfJ0MBJ90Q,7,7,7,7,7,7,7,7,7
R_3HFDtzal8clxQem,11,11,11,11,11,11,11,11,11
R_12LIeBmYnYilBao,5,5,5,5,5,5,5,5,5
R_2PurB0sZAiOJ0jx,11,11,11,11,11,11,11,11,11
R_A56hTTUO7PZaMEN,5,5,5,5,5,5,5,5,5
R_2Cg0hGUx0F2gSUh,11,11,11,11,11,11,11,11,11
R_1gIPh8DxtU2IQ6t,10,10,10,10,10,10,10,10,10
R_2TLVfM5EqLp2iht,11,11,11,11,11,11,11,11,11
R_2wB5riSgvkFIrOu,5,5,5,5,5,5,5,5,5
R_2Swfvy82KfNcGX2,10,10,10,10,10,10,10,10,10
R_2Vz4b0bjRTENw0d,6,6,6,6,6,6,6,6,6
R_2YEVHTDDt7fTtnK,7,7,7,7,7,7,7,7,7
R_2zPg2cQ2jAEN0Cu,0,0,0,0,0,0,0,0,0
R_2ype7wHxALY1Vrm,7,7,7,7,7,7,7,7,7
R_pmgk6cEfM2C077j,4,4,4,4,4,4,4,4,4
R_3ferzDlHkJX0PXy,11,11,11,11,11,11,11,11,11
R_OCoUGIGJHkljgfD,10,10,10,10,10,10,10,10,10
R_3qaqIbK8C19Zegb,8,8,8,8,8,8,8,8,8
R_2XnirU8jOQPiJvj,0,0,0,0,0,0,0,0,0
R_3W5xXDWYtUR7lfP,11,11,11,11,11,11,11,11,11
R_3szRRLh8YLCRBGn,11,11,11,11,11,11,11,11,11
R_Y4YJ82igtmjr1Yt,5,5,5,5,5,5,5,5,5
R_2vjkbYJq7AfHtX8,11,11,11,11,11,11,11,11,11
R_WcfFAVkBkQBCvVn,10,10,10,10,10,10,10,10,10
R_2CoWjbhcLaDPJcL,10,10,10,10,10,10,10,10,10
R_1laGOj4fjnXFnHx,11,11,11,11,11,11,11,11,11
R_2THK5CThppiK9dS,7,7,7,7,7,7,7,7,7
R_2zSXzxHDw0UdBkv,5,5,5,5,5,5,5,5,5
R_2EuBjvNUGh3UjYI,10,10,10,10,10,10,10,10,10
R_2fd1RQpfeZOHi3h,6,6,6,6,6,6,6,6,6
R_28IMBupMzCLmxrL,11,11,11,11,11,11,11,11,11
R_2EFb13H9bAfac6Y,10,10,10,10,10,10,10,10,10
R_D6Gzqig16trHhLz,11,11,11,11,11,11,11,11,11
R_1N36tUZkgLqkZdP,10,10,10,10,10,10,10,10,10
R_28IMhX0jSuYMi68,7,7,7,7,7,7,7,7,7
R_29p2zDG6TjTIVDr,4,4,4,4,4,4,4,4,4
R_Dpcwye7RVRhZUqd,5,5,5,5,5,5,5,5,5
R_1nTwMlqvcMSIFgT,10,10,10,10,10,10,10,10,10
R_3s4eEo93OhUeL6n,11,11,11,11,11,11,11,11,11
R_1gzizS5hJ7M3F3q,5,5,5,5,5,5,5,5,5
R_1QFmvqafozuFu9E,8,8,8,8,8,8,8,8,8
R_2aDHECywHJFSVss,0,0,0,0,0,0,0,0,0
R_3O63Q8iZqNwChAM,10,10,10,10,10,10,10,10,10
R_24odHoiN3DIpL5z,11,11,11,11,11,11,11,11,11
R_2Qyz63D7490pq6L,11,11,11,11,11,11,11,11,11
R_tWYiKQy89Ez2Li9,11,11,11,11,11,11,11,11,11
R_1er7mGuxb4y2Cu7,11,11,11,11,11,11,11,11,11
R_1gBgfYBmynwKbwv,11,11,11,11,11,11,11,11,11
R_3I6pqrais1eob0M,11,11,11,11,11,11,11,11,11
R_3HFhEBXJOSj5lji,5,5,5,5,5,5,5,5,5
R_2D6KbGCh3XqtXQj,11,11,11,11,11,11,11,11,11
R_2WNIT6T3cFBSqsb,11,11,11,11,11,11,11,11,11
R_2S32wbkWUeewBNl,7,7,7,7,7,7,7,7,7
R_1dKA2mH7Ccoy5qc,11,11,11,11,11,11,11,11,11
R_2dR4azSCXQwBK9o,10,10,10,10,10,10,10,10,10
R_2EhJLxpBucDrffZ,0,0,0,0,0,0,0,0,0
R_2SIS7o7N84Y67vC,11,11,11,11,11,11,11,11,11
R_32QqRQtHycdgC4p,1,1,1,1,1,1,1,1,1
R_db7osLQj1LuTo0p,11,11,11,11,11,11,11,11,11
R_3kFLbdLjNqAErhg,11,11,11,11,11,11,11,NA,11
R_24u44rgni6wfILM,11,11,11,11,11,11,11,11,11
R_11cQcGRCrH3PrAQ,7,7,7,7,7,7,7,7,7
R_OIsrxwJLyjGmjM5,11,11,11,11,11,11,11,11,11
R_1gzEx9oeyYz5hfo,11,11,11,11,11,11,11,11,11
R_3qZL2ihumuPzD0T,5,5,5,5,5,5,5,5,5
R_2pXXIUeyjAJ25A4,5,5,5,5,5,5,5,5,5
R_2dnh1q8GHW7Au8Z,10,10,10,10,10,10,10,10,10
R_3qVcxmGyaTYfAMQ,10,10,10,10,10,10,10,10,10
R_2aQ8zAQJ9aNMB2A,10,10,10,10,10,10,10,10,10
R_1eLeKeBYpWi3A1Q,11,11,11,11,11,11,11,11,11
R_1NFiOEXCWdH08Uc,11,11,11,11,11,11,11,11,11
R_OoEyyc3YQCJrtQZ,5,5,5,5,5,5,5,5,5
R_20MxZMbUEGr4pKK,6,6,6,6,6,6,6,6,6
R_29u1YsFuH7pCljC,10,10,10,10,10,10,10,10,10
R_2PcjwO2mQIrIfEk,11,11,11,11,11,11,11,11,11
R_1hQoPqle29mVsMv,11,11,11,11,11,11,11,11,11
R_1IcGFUCLn13WXEE,11,11,11,11,11,11,11,11,11
R_7VXj7Faqde6cuat,5,5,5,5,5,5,5,5,5
R_33lmwluJjzOnchW,5,5,5,5,5,5,5,5,5
R_sHzt8uf9vQWuiUV,11,11,11,11,11,11,11,11,11
R_UWpSQMZfMqo2oH7,11,11,11,11,11,11,11,11,11
